place,rainfall,groundwater_refilled_total,groundwater_refilled_nonirrigated,groundwater_refilled_irrigated,groundwater_used_total,groundwater_used_nonirrigated,groundwater_status,land_total,land_nonirrigated,land_irrigated,year
matia,2583.2,9701.25,9701.25,0.0,2351.78,2351.78,safe,22362.0,22357.79,0.0,2024
dangtol,3102.4,10588.09,10588.09,0.0,3387.66,3387.66,safe,20767.0,18753.9640002483,0.0,2024
harangajao,2791.8,10060.69,10060.69,0.0,89.44,89.44,safe,92003.0,37488.0,0.0,2024
tingkhong,2649.4,16904.3,16904.3,0.0,591.61,591.61,safe,40572.0,40162.56,0.0,2024
joypur,2649.4,18320.6,18320.6,0.0,685.52,685.52,safe,43953.0,43509.44,0.0,2024
dalgaon-sialmari,1951.2,11451.55,11451.55,0.0,5432.87,5432.87,safe,35346.0,35314.5,0.0,2024
mahamaya (part),2752.8,5608.28,5608.28,0.0,1486.92,1486.92,safe,11820.0,11791.56,0.0,2024
tengnoupal,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,121300.0,0.0,0.0,2024
ukhrul north,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,100800.0,0.0,0.0,2024
nungba,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,107600.0,0.0,0.0,2024
phungyar phaisat,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,67900.0,0.0,0.0,2024
moirang,1987.59,4235.33,4235.33,0.0,248.5,248.5,safe,21600.0,21600.0,0.0,2024
ukhrul south,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,55500.0,0.0,0.0,2024
thanlon,0.0,0.0,0.0,0.0,4404.62606885064,1431.27574394464,Hilly Area,106300.0,0.0,0.0,2024
imphal west ii,1709.92,4059.86,4059.86,0.0,398.25,398.25,safe,23800.0,23800.0,0.0,2024
thoubal,1276.78,3992.05,3992.05,0.0,366.38,366.38,safe,32400.0,32400.0,0.0,2024
